timestamp,open,high,low,close,volume
2024-01-02,99.9999,100.6005,99.5995,100.1,1000000
2024-01-03,100.0999,100.7011,99.6991,100.2001,1000000
2024-01-04,100.2,100.8018,99.7988,100.3003,1000000
2024-01-05,100.3002,100.9026,99.8986,100.4006,1000000
2024-01-06,100.4005,101.0035,99.9985,100.501,1000000
2024-01-07,100.5009,101.1045,100.0985,100.6015,1000000
2024-01-08,100.6014,101.2056,100.1986,100.7021,1000000
2024-01-09,100.702,101.3068,100.2988,100.8028,1000000
2024-01-10,100.8027,101.4081,100.3991,100.9036,1000000
2024-01-11,100.9035,101.5095,100.4995,101.0045,1000000
2024-01-12,101.0044,101.611,100.6,101.1055,1000000
2024-01-13,101.1054,101.7127,100.7006,101.2066,1000000
2024-01-14,101.2065,101.8144,100.8013,101.3078,1000000
2024-01-15,101.3077,101.9162,100.9021,101.4091,1000000
2024-01-16,101.409,102.0181,101.003,101.5105,1000000
2024-01-17,101.5104,102.1201,101.104,101.6121,1000000
2024-01-18,101.612,102.2222,101.2051,101.7137,1000000
2024-01-19,101.7136,102.3245,101.3063,101.8154,1000000
2024-01-20,101.8153,102.4268,101.4076,101.9172,1000000
2024-01-21,101.9171,102.5292,101.509,102.0191,1000000
2024-01-22,102.019,102.6317,101.6105,102.1211,1000000
2024-01-23,102.121,102.7344,101.7121,102.2233,1000000
2024-01-24,102.2232,102.8371,101.8139,102.3255,1000000
2024-01-25,102.3254,102.9399,101.9157,102.4278,1000000
2024-01-26,102.4277,103.0429,102.0176,102.5302,1000000
2024-01-27,102.5301,103.1459,102.1196,102.6328,1000000
2024-01-28,102.6327,103.2491,102.2217,102.7354,1000000
2024-01-29,102.7353,103.3523,102.3239,102.8381,1000000
2024-01-30,102.838,103.4557,102.4263,102.941,1000000
2024-01-31,102.9409,103.5591,102.5287,103.0439,1000000
2024-02-01,103.0438,103.6627,102.6312,103.147,1000000
2024-02-02,103.1468,103.7664,102.7338,103.2501,1000000
2024-02-03,103.25,103.8701,102.8366,103.3533,1000000
2024-02-04,103.3532,103.974,102.9394,103.4567,1000000
2024-02-05,103.4566,104.078,103.0424,103.5602,1000000
2024-02-06,103.5601,104.182,103.1454,103.6637,1000000
2024-02-07,103.6636,104.2862,103.2485,103.7674,1000000
2024-02-08,103.7673,104.3905,103.3518,103.8712,1000000
2024-02-09,103.871,104.4949,103.4551,103.975,1000000
2024-02-10,103.9749,104.5994,103.5586,104.079,1000000
2024-02-11,104.0789,104.704,103.6622,104.1831,1000000
2024-02-12,104.183,104.8087,103.7658,104.2873,1000000
2024-02-13,104.2872,104.9135,103.8696,104.3915,1000000
2024-02-14,104.3914,105.0184,103.9735,104.4959,1000000
2024-02-15,104.4958,105.1234,104.0774,104.6004,1000000
2024-02-16,104.6003,105.2286,104.1815,104.705,1000000
2024-02-17,104.7049,105.3338,104.2857,104.8097,1000000
2024-02-18,104.8096,105.4391,104.39,104.9145,1000000
2024-02-19,104.9144,105.5446,104.4944,105.0195,1000000
2024-02-20,105.0194,105.6501,104.5989,105.1245,1000000
2024-02-21,105.1244,105.7558,104.7035,105.2296,1000000
2024-02-22,105.2295,105.8615,104.8082,105.3348,1000000
2024-02-23,105.3347,105.9674,104.913,105.4402,1000000
2024-02-24,105.4401,106.0733,105.0179,105.5456,1000000
2024-02-25,105.5455,106.1794,105.1229,105.6512,1000000
2024-02-26,105.6511,106.2856,105.228,105.7568,1000000
2024-02-27,105.7567,106.3919,105.3333,105.8626,1000000
2024-02-28,105.8625,106.4983,105.4386,105.9684,1000000
2024-02-29,105.9683,106.6048,105.544,106.0744,1000000
2024-03-01,106.0743,106.7114,105.6496,106.1805,1000000
2024-03-02,106.1804,106.8181,105.7552,106.2867,1000000
2024-03-03,106.2865,106.9249,105.861,106.3929,1000000
2024-03-04,106.3928,107.0318,105.9668,106.4993,1000000
2024-03-05,106.4992,107.1389,106.0728,106.6058,1000000
2024-03-06,106.6057,107.246,106.1789,106.7124,1000000
2024-03-07,106.7123,107.3532,106.2851,106.8191,1000000
2024-03-08,106.819,107.4606,106.3913,106.926,1000000
2024-03-09,106.9259,107.5681,106.4977,107.0329,1000000
2024-03-10,107.0328,107.6756,106.6042,107.1399,1000000
2024-03-11,107.1398,107.7833,106.7108,107.2471,1000000
2024-03-12,109.2826,109.939,108.845,109.392,1000000
2024-03-13,111.4683,112.1377,111.0219,111.5798,1000000
2024-03-14,113.6976,114.3805,113.2424,113.8114,1000000
2024-03-15,115.9716,116.6681,115.5072,116.0877,1000000
2024-03-16,118.291,119.0015,117.8174,118.4094,1000000
2024-03-17,120.6568,121.3815,120.1737,120.7776,3500000
2024-03-18,123.07,123.8091,122.5772,123.1932,1000000
2024-03-19,125.5314,126.2853,125.0287,125.657,1000000
2024-03-20,128.042,128.811,127.5293,128.1702,1000000
2024-03-21,130.6028,131.3872,130.0799,130.7336,1000000
